ditto mark,〃
militarist,軍国主義者
military-industrial complex,軍産複合体
strategist,軍略家
arms reduction,軍備削減
arms race,軍備競争
military funeral,軍葬
military training,軍隊教育
naval ensign,軍艦旗
writing or painting fee,揮毫料
in complete harmony,混然一体
to carry or bring in(to),運び入れる
to carry or bring (up),運び上げる
bowing (of a stringed instrument),運弓
to carry away,運び去る
leaving to fate,運まかせ
having a go at something,運否天賦
fateful,運命的
fatalist,運命論者
fingering (of a musical instrument),運指
carrier,運送人
shipping or forwarding agency,運送店
transit or transport(ation) insurance,運送保険
freight or carriage contract,運送契約
transportation or shipping charges,運送料
cargo vessel,運送船
transportation rates or expenses,運送費
forwarding or transportation industry,運送業
carrier,運送業者
poetic meeting,運座
luck, steadfastness and patience (the three keys to achieving success),運根鈍
sporting goods,運動具
the world of sports,運動界
athlete,運動選手
sports section,運動欄
driver's seat,運転台
driving licence,運転免許証
operational costs,運転費
budget,運営経費
budget,運営費
operating funds,運営資金
conveyor,運搬人
transportation charge,運搬費
materials management or handling,運搬管理
test of one's luck,運だめし
(amount of) traffic,運輸量
carrier,運輸業者
enclosure,囲い込み
mistress,囲い者
different material,偉材
offence,違犯行為
illegal act,違法行為
lawbreaker,違法者
misdemeanor,違警罪
rolled omelette mixed with fish paste (omelet),だて巻き
monarchy,君主国
monarchy,君主制体
monarch and subjects,君民
monarch and nation,君国
the orders of one's ruler,君命
the favor of one's ruler (favour),君恩
the favor of one's ruler (favour),君寵
county offices,郡役所
county and prefecture system,郡県制度
petty,群小
thick growth of bamboo,群竹
collection of weaklings,群羊
a crowd or large number of one's retainers or subjects,群臣
many blind people,群盲
ultramarine,群青
repeated occurrence,群発
(the many peaks of a) mountain range,群峰
to play in a group,群れ遊ぶ
living in flocks, herds, colonies, etc.,群棲
group mind,群集心理
crowd behaviour,群集行動
group of clouds,村雲
group dancing,群舞
multitude of opinions,群議
solid (plan, storyline, etc.),骨太
ossification,骨化
spicule,骨片
backbreaking work,骨仕事
reduced to skin and bones,骨皮筋右衛門
osteosarcoma,骨肉腫
flesh and bones,骨身
to take pains,骨折る
gathering up the ashes of the deceased,骨拾い
bone coal,骨炭
phrenology,骨相学
phrenologist,骨相学者
appearance,骨柄
skeletal muscle,骨格筋
powdered bone,骨粉
to be angular,骨ばる
osteomalacia,骨軟化症
pinnacle,骨張
antiquarianism,骨董趣味
cremation urn,骨つぼ
spineless,骨無し
gathering up the ashes of the deceased,骨揚げ
build,骨幹
spirit,骨っ節
periosteum,骨膜
periostitis,骨膜炎
box in which a funerary urn is kept,骨箱
bony substance,骨質
osteomyelitis,骨髄炎
to make a start upon,滑り出す
downhill race,滑降競技
kidnap,拐引
badly-behaved child,鬼っ子
dreadful,鬼気
tiger lily (Lilium lancifolium),鬼百合
Achilles' heel,鬼門
island of ogres (in Japanese folklore),鬼ケ島
roster of the dead,鬼籍
tuber,塊茎
period of ten days,旬間
selling one's personal effects in order to live (like peeling the layers of a bamboo shoot one by one),筍生活
quack,たけのこ医者
torpedo modified as a suicide weapon (used in WWII),廻天
claw-back,回収金
chance,回り合せ
traveling throughout the country (travelling),廻国
encyclical,回勅
recovery (from an illness),回春
rejuvenating agent,回春剤
shipping agent,回漕店
recurrent fever,回帰熱
circulation,回流
mosque,回教寺院
Islamic nation,回教国
Muslim,回教徒
instructions sent in response to a question (from an embassy, consulate, etc.),回訓
carousel,回転木馬
revolving account,回転勘定
swivel chair,回転椅子
revolving fund,回転資金
rotator,回転機
convalescence,回復期
working in shifts,回り番
excursion boat,回遊船
straddling fish stocks,回游魚
circuit breaker,回路遮断機
shipping,回漕
circulate a book (among friends),回読
circuit switching,回線交換
circuit load,回線負荷
consultation via a circular,回議
retrospective,回顧的
stomach cramps,胃けいれん
gastroenteritis,胃腸炎
gastrointestinal disorder,胃腸病
gastric hyperacidity,胃酸過多症
immigrant to ancient Japan from China or Korea,帰化人
naturalised plant,帰化植物
preparations for returning (home),帰り支度
homesickness,帰心
surrender,帰服
temporary layoff,帰休
returning,帰来
returning to one's village,帰村
return to base (of soldiers, military aircraft or ships),帰投
returning to the service of one's master,帰参
returning home from school,帰校
recursive,帰納的
homeward voyage or flight,帰航
when about to go back,帰り掛け
homing instinct,帰巣本能
returning to port,帰港
returning to military duty,帰営
take up farming again,帰農
the point of no return,帰還不能限界点
returned soldier,帰還兵
returnee,帰還者
returning to one's (war)ship,帰艦
man with an aristocratic air,貴公子
your letter,貴札
your name,貴名
you,貴所
your shop,貴店
your country,貴国
your home,貴家
aristocratic,貴族的
aristocracy,貴族政治
priest,貴僧
reply (epistolary),貴酬
noble birth,貴種
your (visual) observation,貴覧
lost and found office,遺失物取り扱い所
owner of a lost article,遺失者
lost article,遺失品
gene therapy,遺伝子治療
testator,遺言者
testamentary executor,遺言執行者
codicil,遺言補足書
heir's distributive share,遺留分
survivor's pension or annuity,遺族年金
survivor's benefit,遺族扶助
survivor's benefit,遺族給付
old customs,遺習
inheritor,遺産相続人
inheritance tax,遺産相続税
administration of an estate,遺産管理
administrator of an estate,遺産管理人
collection of writings by the deceased,遺集
abandoned goods,遺棄貨物
legal portion,遺贈分
soup stock made from kombu,昆布出し
entomologist,昆虫学者
object which is mixed in,混入物
mixing (usage),混用
compound colour (color),混色
explosive mixture,混合火薬
mixed forest,混合林
amalgam,混合物
blended liquor,混合酒
mixed economy,混合経済
mixed farming,混合農業
word formed via contamination,混合語
blender,混合機
mixed forest,混交林
to interfere (when one talks),雑ぜっ返す
hybrid rock,混成岩
hybrid,混成物
composite goods,混成品
alcohol combined with sugar, spices, fruit, etc.,混成酒
combined competitions,混成競技
mixed-race child,混血児
mixed cultivation,混作
adulteration,混じり物
mixture,混和物
miscibility,混和性
hybrid term combining elements drawn from different languages,混種語
mixed cargo,混載貨物
confusion,混線
New Year's visit to a shrine or temple which lies in a favorable (favourable) or lucky direction,恵方詣
smiling face,恵比寿顔
welcome rain,恵雨
spike (inflorescence),穂状花序
rows of grain thrusting upright,穂並
dilemma,困却
the destitute,困窮者
equalisation,均等化
equal apportionment,均等割
balanced budget,均衡予算
equilibrium price,均衡価格
balanced economy,均衡経済
haemophiliac,血友病患者
stopping of bleeding,血どめ
bloody vomit,血反吐
sphygmomanometer (instrument used to measure blood pressure),血圧計
anti-hypertensive agent,血圧降下剤
bloody (battle, crime, etc.),血腥い
impulsive temperament,血の気
youthful vigour,血気盛り
meat of a fish (e.g. tuna) that is dark red with blood, usu. coming from the parts close to the spine,血合
sedimentation (rate) of blood cells,血沈
to become bloodshot,血走る
hematuria (haematuria),血尿
hematuria,血尿症
bloodshed,血の雨
bloody stool,血便
pool of blood,血の海
bitter tears,血の涙
blood clot,血栓
thrombosis,血栓症
blood relationship,血脈
writing in blood,血書
serology,血清学
serum hepatitis,血清肝炎
serum injection,血清注射
serotherapy,血清療法
hematology,血液学
hemanalysis,血液検査
blood bank,血液銀行
consanguineous marriage,血族結婚
covered in blood,血達磨
blood spot,血斑
compulsory military service,血税
blood vessels,血の道
pedigree paper,血統書
blood clot,血塊
to kill,釁る
frantic,血塗
spurt or spray of blood,血煙
bloody battle,血戦
bloody phlegm,血たん
kin,血続き
means of escape,血路
sticky clots of blood,血のり
bloody pus,血膿
unit,位付け
infectious disease which by law a physician must report to the authorities within 24 hours of diagnosis,届け出伝染病
reported price,届け出価格
present,届け物
will-o'-the-wisp,怪火
oddly shaped rock,怪石
mysterious light,怪光
losing accidentally,怪我負け
winning accidentally,怪我勝ち
mystery novel,怪奇小説
horror film,怪奇映画
mystery story,怪奇物語り
whirlwinds accompanied by rain which also drops strange objects such as fish,怪雨
amazing ability,快腕
unusually large or strong youth,怪童
suspicious man,怪漢
monster film,怪獣映画
mycology,菌類学
mycologist,菌類学者
pocket mirror,懐中鏡
idleness,ふところ手
talking about old times,懐旧談
fuel source for a (pocket) body warmer,懐炉灰
one's financial standing,懐工合
(breast) pocket,懐抱
homesickness,懐郷病
dagger,懐剣
one's financial standing,懐勘定
doubt,懐疑心
scepticism,懐疑主義
sceptic,懐疑主義者
scepticism,懐疑論
worldly woman,莫連
recruiting,募兵
fund-raising drive or campaign,募金運動
collection box,募金箱
number of people to be admitted or accepted,募集人員
recruitment advertisement,募集広告
